Voting Method,0,1,2,3,4,5,6
Schulze,0.8322916666666665,0.9163166666666666,0.9676833333333333,0.9906499999999999,0.9979999999999999,1.0,1.0
Bucklin,0.8409166666666668,0.9019666666666667,0.8888916666666665,0.902775,0.9293222222222222,0.9688333333333333,1.0
Plurality With Runoff,0.8609,0.9371083333333335,0.9759333333333333,0.9921416666666666,0.9978888888888888,1.0,1.0
Coombs,0.8276250000000002,0.9138333333333332,0.9659999999999999,0.9895499999999999,0.9975111111111112,1.0,1.0
