Voting Method,0,1,2,3,4,5,6
Schulze,0.7839321428571427,0.8733535714285713,0.9469142857142858,0.9843285714285717,0.9963809523809521,1.0,1.0
Bucklin,0.8003607142857143,0.8604142857142857,0.84535,0.8628321428571429,0.9007619047619048,0.9553285714285715,1.0
Plurality With Runoff,0.8265892857142859,0.9088714285714286,0.9611857142857144,0.9864464285714286,0.9958238095238094,1.0,1.0
Coombs,0.7775214285714286,0.8709285714285714,0.9450321428571428,0.9827785714285715,0.9954666666666667,1.0,1.0
